0.77
(288.00, 0.00)
(288.64, 0.77)
(289.28, 1.54)
(289.91, 2.31)
(290.55, 3.08)
(291.19, 3.85)
(291.83, 4.62)
(292.47, 5.39)
(293.11, 6.16)
(293.74, 6.93)
(294.38, 7.70)
(295.02, 8.47)
(295.66, 9.24)
(296.30, 10.01)
(296.94, 10.78)
(297.57, 11.55)
(298.21, 12.32)
(298.85, 13.09)
(299.49, 13.86)
(300.13, 14.63)
(300.77, 15.40)
(301.40, 16.17)
(302.04, 16.94)
(302.68, 17.70)
(303.32, 18.47)
(303.96, 19.24)
(304.60, 20.01)
(305.23, 20.78)
(305.87, 21.55)
(306.51, 22.32)
(307.15, 23.09)
(307.79, 23.86)
(308.43, 24.63)
(309.06, 25.40)
(309.70, 26.17)
(310.34, 26.94)
(310.98, 27.71)
(311.62, 28.48)
(312.26, 29.25)
(312.89, 30.02)
(313.53, 30.79)
(314.17, 31.56)
(314.81, 32.33)
(315.45, 33.10)
(316.09, 33.87)
(316.72, 34.64)
(317.36, 35.41)
(318.00, 36.18)
(318.64, 36.95)
(319.28, 37.72)
(319.92, 38.49)
(320.55, 39.26)
(321.19, 40.03)
(321.83, 40.80)
(322.47, 41.57)
(323.11, 42.34)
(323.75, 43.11)
(324.38, 43.88)
(325.02, 44.65)
(325.66, 45.42)
(326.30, 46.19)
(326.94, 46.96)
(327.57, 47.73)
(328.21, 48.50)
(328.85, 49.27)
(329.49, 50.04)
(330.13, 50.81)
(330.77, 51.58)
(331.40, 52.34)
(332.04, 53.11)
(332.68, 53.88)
(333.32, 54.65)
(333.96, 55.42)
(334.60, 56.19)
(335.23, 56.96)
(335.87, 57.73)
(336.51, 58.50)
(337.15, 59.27)
(337.79, 60.04)
(338.43, 60.81)
(339.06, 61.58)
(339.70, 62.35)
(340.34, 63.12)
(340.98, 63.89)
(341.62, 64.66)
(342.26, 65.43)
(342.89, 66.20)
(343.53, 66.97)
(344.17, 67.74)
(344.81, 68.51)
(345.45, 69.28)
(346.09, 70.05)
(346.72, 70.82)
(347.36, 71.59)
(348.00, 72.36)
(348.64, 73.13)
(349.28, 73.90)
(349.92, 74.67)
(350.55, 75.44)
(351.19, 76.21)
(351.83, 76.98)
(352.47, 77.75)
(353.11, 78.52)
(353.75, 79.29)
(354.38, 80.06)
(355.02, 80.83)
(355.66, 81.60)
(356.30, 82.37)
(356.94, 83.14)
(357.58, 83.91)
(358.21, 84.68)
(358.85, 85.45)
(359.49, 86.21)
(360.13, 86.98)
(360.77, 87.75)
(361.41, 88.52)
(362.04, 89.29)
(362.68, 90.06)
(363.32, 90.83)
(363.96, 91.60)
(364.60, 92.37)
(365.23, 93.14)
(365.87, 93.91)
(366.51, 94.68)
(367.15, 95.45)
(367.79, 96.22)
(368.43, 96.99)
(369.06, 97.76)
(369.70, 98.53)
(370.34, 99.30)
(370.98, 100.07)
(371.62, 100.84)
(372.26, 101.61)
(372.89, 102.38)
(373.53, 103.15)
(374.17, 103.92)
(374.81, 104.69)
(375.45, 105.46)
(376.09, 106.23)
(376.72, 107.00)
(377.36, 107.77)
(378.00, 108.54)
(378.64, 109.31)
(379.28, 110.08)
(379.92, 110.85)
(380.55, 111.62)
(381.19, 112.39)
(381.83, 113.16)
(382.47, 113.93)
(383.11, 114.70)
(383.75, 115.47)
(384.38, 116.24)
(385.02, 117.01)
(385.66, 117.78)
(386.30, 118.55)
(386.94, 119.32)
(387.58, 120.09)
(388.21, 120.85)
(388.85, 121.62)
(389.49, 122.39)
(390.13, 123.16)
(390.77, 123.93)
(391.41, 124.70)
(392.04, 125.47)
(392.68, 126.24)
(393.32, 127.01)
(393.96, 127.78)
(394.60, 128.55)
